Instance,Time(s),Upper Bound,Status
N2C3W2_T.BPP,0.355825,43,Optimal
N2C3W4_A.BPP,0.369577,43,Optimal
N2C3W4_B.BPP,0.23146,45,Optimal
N2C3W4_C.BPP,0.286561,42,Optimal
N2C3W4_D.BPP,0.357301,44,Optimal
N2C3W4_E.BPP,0.0725006,47,Optimal
N2C3W4_F.BPP,0.272209,45,Optimal
N2C3W4_G.BPP,1.20226,44,Optimal
N2C3W4_H.BPP,0.206763,44,Optimal
N2C3W4_I.BPP,0.474545,44,Optimal
N2C3W4_J.BPP,0.275943,43,Optimal
N2C3W4_K.BPP,0.222337,47,Optimal
N2C3W4_L.BPP,0.273742,45,Optimal
N2C3W4_M.BPP,0.261506,44,Optimal
N2C3W4_N.BPP,0.21282,45,Optimal
N2C3W4_O.BPP,0.233081,45,Optimal
N2C3W4_P.BPP,0.237228,45,Optimal
N2C3W4_Q.BPP,0.150506,46,Optimal
N2C3W4_R.BPP,0.295631,42,Optimal
N2C3W4_S.BPP,0.356548,42,Optimal
N2C3W4_T.BPP,0.124586,46,Optimal
N3C1W1_A.BPP,1.33192,105,Optimal
N3C1W1_B.BPP,1.20309,114,Optimal
N3C1W1_C.BPP,1.78342,99,Optimal
N3C1W1_D.BPP,1.17951,108,Optimal
N3C1W1_E.BPP,2.03541,98,Optimal
N3C1W1_F.BPP,1.26082,113,Optimal
N3C1W1_G.BPP,1.19223,111,Optimal
N3C1W1_H.BPP,1.69371,104,Optimal
N3C1W1_I.BPP,1.54318,100,Optimal
N3C1W1_J.BPP,0.967866,108,Optimal
N3C1W1_K.BPP,1.91618,102,Optimal
N3C1W1_L.BPP,1.64782,97,Optimal
N3C1W1_M.BPP,1.27613,106,Optimal
N3C1W1_N.BPP,4.64744,93,Optimal
N3C1W1_O.BPP,1.03972,98,Optimal
N3C1W1_P.BPP,0.987932,108,Optimal
N3C1W1_Q.BPP,2.05453,98,Optimal
N3C1W1_R.BPP,2.22302,99,Optimal
N3C1W1_S.BPP,1.59256,100,Optimal
N3C1W1_T.BPP,2.26348,102,Optimal
N3C1W2_A.BPP,0.149851,125,Optimal
N3C1W2_B.BPP,0.150694,126,Optimal
N3C1W2_C.BPP,0.256204,125,Optimal
N3C1W2_D.BPP,0.129142,139,Optimal
N3C1W2_E.BPP,0.212347,132,Optimal
N3C1W2_F.BPP,0.283752,123,Optimal
N3C1W2_G.BPP,0.338625,132,Optimal
N3C1W2_H.BPP,0.160689,129,Optimal
N3C1W2_I.BPP,0.137432,126,Optimal
N3C1W2_J.BPP,0.427024,126,Optimal
N3C1W2_K.BPP,0.448178,120,Optimal
N3C1W2_L.BPP,0.110744,136,Optimal
N3C1W2_M.BPP,0.18527,136,Optimal
N3C1W2_N.BPP,0.10083,136,Optimal
N3C1W2_O.BPP,0.152673,127,Optimal
N3C1W2_P.BPP,0.244502,126,Optimal
N3C1W2_Q.BPP,0.171231,135,Optimal
N3C1W2_R.BPP,0.437455,123,Optimal
N3C1W2_S.BPP,0.303617,130,Optimal
N3C1W2_T.BPP,0.127832,136,Optimal
N3C1W4_A.BPP,0.12429,149,Optimal
N3C1W4_B.BPP,0.129102,149,Optimal
N3C1W4_C.BPP,0.112291,146,Optimal
N3C1W4_D.BPP,0.123443,148,Optimal
N3C1W4_E.BPP,0.189139,142,Optimal
N3C1W4_F.BPP,0.324365,140,Optimal
N3C1W4_G.BPP,0.218861,148,Optimal
N3C1W4_H.BPP,0.351999,141,Optimal
N3C1W4_I.BPP,0.439674,140,Optimal
N3C1W4_J.BPP,0.178693,142,Optimal
N3C1W4_K.BPP,0.132622,147,Optimal
N3C1W4_L.BPP,0.14393,148,Optimal
N3C1W4_M.BPP,0.11187,149,Optimal
N3C1W4_N.BPP,0.140003,148,Optimal
N3C1W4_O.BPP,0.223344,143,Optimal
N3C1W4_P.BPP,0.141812,143,Optimal
N3C1W4_Q.BPP,0.126228,146,Optimal
N3C1W4_R.BPP,0.105789,145,Optimal
N3C1W4_S.BPP,0.112794,145,Optimal
N3C1W4_T.BPP,0.223032,146,Optimal
N3C2W1_A.BPP,2.51956,91,Optimal
N3C2W1_B.BPP,2.60904,82,Optimal
N3C2W1_C.BPP,3.36486,84,Optimal
N3C2W1_D.BPP,3.3885,85,Optimal
N3C2W1_E.BPP,3.30716,87,Optimal
N3C2W1_F.BPP,2.75122,88,Optimal
N3C2W1_G.BPP,2.12345,87,Optimal
N3C2W1_H.BPP,2.67074,87,Optimal
N3C2W1_I.BPP,3.0477,87,Optimal
N3C2W1_J.BPP,2.55869,87,Optimal
N3C2W1_K.BPP,7.26216,77,Optimal
N3C2W1_L.BPP,1.90442,91,Optimal
N3C2W1_M.BPP,2.58993,85,Optimal
